Keyword,Source,URL đang rank,URL mục tiêu,Volume,KD,Clicks,Impressions,CTR,Position,Intent,Funnel,Cluster,Main Topic,Sub Topic,Parent Topic,Topical Authority Role,URL Status,Issue Found,SEO Action,Priority,Internal Link Target,Suggested Anchor,Content Brief Status,Owner,Review Date
mục tiêu smart,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tong-quan-ve-mo-hinh-smart-vi-du-ve-muc-tieu-smart/,,,,5,623,0.80%,7.15,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kaizen nghĩa là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/kaizen-la-gi-tim-hieu-nhung-loi-ich-tu-viec-ap-dung-kaizen/,,,,5,617,0.81%,4.51,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
sedex,GSC,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,,,,2,624,0.32%,6.72,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
nhân viên qa là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,0,630,0.00%,6.87,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
c-tpat là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-c-tpat-va-nhung-noi-dung-cap-nhat-moi/,,,,3,612,0.49%,4.86,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa là làm gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,11,691,1.59%,3.65,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
pellet là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/vien-nen-go-la-gi-wood-pellet-uu-diem-cua-vien-nen-go/,,,,1,613,0.16%,4.20,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 9000,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-9000-la-gi/,,,,2,605,0.33%,7.19,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
isms là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/isms-la-gi-tim-hieu-he-thong-quan-ly-an-toan-thong-tin/,,,,4,592,0.68%,4.53,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
fair trade,GSC,https://knacert.com.vn/dich-vu/tu-van-fairtrade-thuong-mai-cong-bang/,,,,4,591,0.68%,6.70,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 13485 là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,,,,6,573,1.05%,4.05,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
fssc 22000,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/fssc-22000-la-gi-noi-dung-va-loi-ich-khi-doanh-nghiep-ap-dung/,,,,2,562,0.36%,6.04,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
viên nén gỗ,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/vien-nen-go-la-gi-wood-pellet-uu-diem-cua-vien-nen-go/,,,,2,663,0.30%,2.02,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kpi,GSC,https://knacert.com.vn/cong-cu-cai-tien/kpi-chi-so-do-luong-hieu-suat-doanh-nghiep/,,,,0,556,0.00%,6.26,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iaf,GSC,https://knacert.com.vn/cong-cu-cai-tien/iaf-la-gi-vai-tro-cua-iaf-va-cac-thanh-vien-iaf/,,,,3,541,0.55%,5.69,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
sop,GSC,https://knacert.com.vn/cong-cu-cai-tien/quy-trinh-thao-tac-chuan-sop-la-gi/,,,,2,540,0.37%,5.57,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
haccp,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-haccp/,,,,0,544,0.00%,8.94,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
vietgap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-bo-tieu-chuan-vietgap/,,,,0,534,0.00%,5.05,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
hls,GSC,https://knacert.com.vn/cong-cu-cai-tien/hls-high-level-structure-la-gi-nhung-thong-tin-chinh-can-biet/,,,,3,507,0.59%,5.19,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
nhân viên qa là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,3,506,0.59%,4.08,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
bảng kanban,GSC,https://knacert.com.vn/cong-cu-cai-tien/bang-kanban-kanban-board-la-gi/,,,,5,594,0.84%,2.44,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
"fssc 22000 là gì? khái quát, cấu trúc và lợi ích áp dụng",GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/fssc-22000-la-gi-noi-dung-va-loi-ich-khi-doanh-nghiep-ap-dung/,,,,0,515,0.00%,6.55,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa qc là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,0,613,0.00%,3.63,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
wrap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/12-nguyen-tac-cua-wrap/,,,,0,507,0.00%,9.21,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 45001 là gì?,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-45001-la-gi-kna-cert/,,,,0,504,0.00%,9.68,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cq là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/certificate-of-quality-giay-chung-nhan-chat-luongcq-la-gi/,,,,1,495,0.20%,6.63,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
định nghĩa esd là gì,GSC,https://knacert.com.vn/dich-vu/chung-nhan-esd-tieu-chuan-chong-tinh-dien/,,,,0,482,0.00%,6.02,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
mid là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/huong-dan-xac-dinh-ma-so-nha-san-xuat-mid/,,,,0,566,0.00%,1.06,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
gacc,GSC,https://knacert.com.vn/cong-cu-cai-tien/gacc-la-gi-tim-hieu-ve-tong-cuc-hai-quan-trung-quoc/,,,,0,469,0.00%,5.47,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 17025,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-iso-17025-la-gi-kna-cert/,,,,2,452,0.44%,8.51,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
fssc 22000 là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/fssc-22000-la-gi-noi-dung-va-loi-ich-khi-doanh-nghiep-ap-dung/,,,,5,439,1.14%,4.78,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
mô hình smart,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tong-quan-ve-mo-hinh-smart-vi-du-ve-muc-tieu-smart/,,,,0,540,0.00%,10.39,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa là vị trí gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,6,505,1.19%,3.89,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ocs,GSC,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-thanh-phan-huu-co-ocs-la-gi-kna-cert/,,,,0,445,0.00%,5.91,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
chứng nhận haccp,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-haccp/,,,,2,520,0.38%,3.89,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
haccp,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/muc-dich-cua-viec-ap-dung-haccp-la-gi/,,,,0,439,0.00%,8.51,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
duns number là gì,GSC,https://knacert.com.vn/dich-vu/ma-so-duns-la-gi-dang-ki-ma-duns-cho-doanh-nghiep/,,,,6,491,1.22%,3.78,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 17025,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-170252017/,,,,1,430,0.23%,5.27,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
qa là làm gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,8,479,1.67%,2.96,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
cfc là chất gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/cfc-la-khi-gi-cac-nguon-phat-thai-cua-khi-cfc/,,,,1,427,0.23%,6.45,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
dnb number,GSC,https://knacert.com.vn/dich-vu/ma-so-duns-la-gi-dang-ki-ma-duns-cho-doanh-nghiep/,,,,0,431,0.00%,5.42,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
spc là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-kiem-soat-quy-trinh-thong-ke-spc-trong-he-thong-iatf-16949/,,,,5,492,1.02%,3.65,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
gacc là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/gacc-la-gi-tim-hieu-ve-tong-cuc-hai-quan-trung-quoc/,,,,0,517,0.00%,3.71,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
jas,GSC,https://knacert.com.vn/dich-vu/chung-nhan-tieu-chuan-jas-marking/,,,,1,423,0.24%,6.54,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
wrap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/wrap-certificate-giay-chung-nhan-wrap-la-gi/,,,,1,504,0.20%,10.15,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 9001,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,,,,1,418,0.24%,5.70,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
qc là công việc gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,1,418,0.24%,9.12,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
5s là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/noi-dung-5s-duoc-hieu-nhu-the-nao/,,,,0,504,0.00%,3.88,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
wca là gì,GSC,https://knacert.com.vn/dich-vu/tu-van-danh-gia-wca-chuong-trinh-danh-gia-dieu-kien-lam-viec/,,,,2,411,0.49%,5.78,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
5s,GSC,https://knacert.com.vn/cong-cu-cai-tien/phuong-phap-5s-la-gi-trong-san-xuat/,,,,2,407,0.49%,5.83,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
lean six sigma là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/tim-hieu-mo-hinh-lean-six-sigma-mo-hinh-cai-tien-nang-suat-chat-luong/,,,,7,462,1.52%,3.54,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
koa certification,GSC,https://knacert.com.vn/cong-cu-cai-tien/giay-coa-la-gi-tac-dung-cua-giay-chung-nhan-coa-certificate-of-analysis/,,,,0,413,0.00%,5.90,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
pataya,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/dao-tao-nhan-thuc-va-danh-gia-noi-bo-bsci-tai-cong-ty-pataya/,,,,0,413,0.00%,9.43,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
certificate of analysis là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/giay-coa-la-gi-tac-dung-cua-giay-chung-nhan-coa-certificate-of-analysis/,,,,6,464,1.29%,2.72,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 14001 là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-iso-140012015/,,,,0,409,0.00%,6.03,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
smeta,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/dao-tao-tieu-chuan-sedex-smeta/,,,,0,407,0.00%,5.33,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
spc,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-kiem-soat-quy-trinh-thong-ke-spc-trong-he-thong-iatf-16949/,,,,1,395,0.25%,9.20,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
qms,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/qms-la-gi-iso-9001-va-cac-he-thong-quan-ly-chat-luong/,,,,1,394,0.25%,9.92,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
higg index,GSC,https://knacert.com.vn/dich-vu/chi-so-higg-index-va-hiep-hoi-may-mac-ben-vung/,,,,1,393,0.25%,6.66,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 50001,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-ve-he-thong-quan-ly-nang-luong-iso-50001/,,,,2,380,0.53%,9.04,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
qms là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/qms-la-gi-iso-9001-va-cac-he-thong-quan-ly-chat-luong/,,,,1,383,0.26%,7.08,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
jit là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-he-thong-san-xuat-tuc-thoi-just-in-time-jit-va-loi-ich-cua-chung/,,,,0,384,0.00%,6.70,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
haccp là chứng nhận gì,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-haccp/,,,,1,379,0.26%,5.70,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
tcvn,GSC,https://knacert.com.vn/phat-trien-ben-vung/su-khac-nhau-giua-tieu-chuan-tcvn-va-quy-chuan-ky-thuat-quoc-gia-qcvn/,,,,2,372,0.54%,7.35,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
just in time là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-he-thong-san-xuat-tuc-thoi-just-in-time-jit-va-loi-ich-cua-chung/,,,,1,372,0.27%,8.69,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
esd là gì,GSC,https://knacert.com.vn/dich-vu/chung-nhan-esd-tieu-chuan-chong-tinh-dien/,,,,0,375,0.00%,5.31,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 9001 là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,,,,3,355,0.85%,6.37,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
kanban,GSC,https://knacert.com.vn/cong-cu-cai-tien/he-thong-kanban-va-loi-ich-cua-kanban-trong-quan-tri/,,,,1,363,0.28%,8.24,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iatf,GSC,https://knacert.com.vn/dich-vu/dao-tao-tieu-chuan-iatf-169492016/,,,,3,354,0.85%,5.23,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
định nghĩa responsible business alliance ( viết tắt rba) tiếng việt là gì?,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,,,,1,361,0.28%,4.41,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
5s là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/phuong-phap-5s-la-gi-trong-san-xuat/,,,,0,359,0.00%,5.92,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
wrap là gì,GSC,https://knacert.com.vn/dich-vu/dao-tao-danh-gia-tieu-chuan-wrap/,,,,0,359,0.00%,4.77,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
haccp,GSC,https://knacert.com.vn/cong-cu-cai-tien/haccp-la-gi-quy-trinh-xay-dung-va-ap-dung-haccp-cho-doanh-nghiep/,,,,1,425,0.24%,11.04,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
pdca là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/pdca-la-gi-chu-trinh-pdca-trong-iso/,,,,0,354,0.00%,8.60,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
chăn nuôi theo tiêu chuẩn vietgap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-tieu-chuan-vietgap-chan-nuoi-vietgap/,,,,9,376,2.39%,2.59,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
gmp là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/giay-chung-nhan-gmp-la-gi/,,,,1,340,0.29%,9.91,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
fair trade là gì,GSC,https://knacert.com.vn/dich-vu/tu-van-fairtrade-thuong-mai-cong-bang/,,,,1,338,0.30%,5.38,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 22000 là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/khac-biet-giua-iso-22000-va-haccp-la-gi-nen-chon-chung-nhan-1-hay-ca-2/,,,,0,339,0.00%,7.42,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
qa qc,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,2,395,0.51%,2.89,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
ctpat,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-c-tpat-va-nhung-noi-dung-cap-nhat-moi/,,,,2,327,0.61%,7.94,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
chứng nhận haccp là gì,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-haccp/,,,,2,326,0.61%,7.49,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iatf 16949,GSC,https://knacert.com.vn/dich-vu/dao-tao-tieu-chuan-iatf-169492016/,,,,1,329,0.30%,6.06,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 22000,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/cac-phien-ban-cua-iso-22000-va-su-khac-nhau-cua-iso-22000-phien-ban-2018-voi-2005/,,,,1,328,0.30%,8.89,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
kaizen,GSC,https://knacert.com.vn/blogs/tin-tuc/kaizen-la-gi-tim-hieu-nhung-loi-ich-tu-viec-ap-dung-kaizen,,,,1,327,0.31%,4.43,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
grs là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-tai-che-toan-cau-grs-la-gi-kna-cert/,,,,1,316,0.32%,5.45,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iatf là gì,GSC,https://knacert.com.vn/dich-vu/dao-tao-tieu-chuan-iatf-169492016/,,,,4,301,1.33%,4.02,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
fairtrade,GSC,https://knacert.com.vn/dich-vu/tu-van-fairtrade-thuong-mai-cong-bang/,,,,2,304,0.66%,5.28,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
t c,GSC,https://knacert.com.vn/dich-vu/giay-chung-nhan-giao-dichchung-chi-tc-la-gi/,,,,0,312,0.00%,4.04,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
rcs,GSC,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,,,,0,310,0.00%,8.29,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
tapa,GSC,https://knacert.com.vn/dich-vu/tu-van-tieu-chuan-tapa-hiep-hoi-bao-ve-tai-san-van-chuyen/,,,,0,308,0.00%,8.33,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
poka yoke là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-chong-sai-loi-poka-yoke/,,,,8,329,2.43%,2.95,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
kna cert,GSC,https://knacert.com.vn/tuyen-dung/,,,,3,293,1.02%,5.77,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
fssc là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/fssc-22000-la-gi-noi-dung-va-loi-ich-khi-doanh-nghiep-ap-dung/,,,,2,297,0.67%,4.81,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
tc,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/giay-chung-nhan-giao-dichchung-chi-tc-la-gi/,,,,2,296,0.68%,5.74,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
gfsi,GSC,https://knacert.com.vn/dich-vu/chung-nhan-gfsi-la-gi-sang-kien-an-toan-thuc-pham-toan-cau/,,,,6,279,2.15%,9.64,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
pefc,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/pefc-la-gi-tieu-chuan-pefccocfm-va-chung-chi-rung/,,,,5,282,1.77%,4.89,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
iso 9001:2015 là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,,,,2,291,0.69%,4.49,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
vietgap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-vietgap-va-globalgap-co-gi-giong-va-khac-nhau/,,,,1,295,0.34%,7.77,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
công ty tnhh valuetronics việt nam,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/dao-tao-nhan-thuc-va-danh-gia-noi-bo-iso-90012015-cho-cong-ty-tnhh-valuetronics-viet-nam/,,,,6,274,2.19%,8.43,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
ccs,GSC,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-tuyen-bo-thanh-phan-ccs-la-gi-kna-cert/,,,,0,299,0.00%,8.11,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
just in time,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-he-thong-san-xuat-tuc-thoi-just-in-time-jit-va-loi-ich-cua-chung/,,,,2,348,0.57%,10.89,,,,,,,,,CTR thấp,Title/Meta Update,Cao,,,Chưa tạo,,
