"type","id","status","title","link","hit_count","match_types","needles","images"
"posts","1197","publish","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","https://knacert.com.vn/tin-tuc-dao-tao/tai-sao-phai-huan-luyen-an-toan-lao-dong/","4","known_asset_reference; standalone_img_cta_candidate; table_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/44.png; https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png; contact_href+cta_filename+button_dimensions+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/dao-tao-iso-duoc-thien-an-knacert-322.png | https://knacert.com.vn/wp-content/uploads/2025/11/44.png | https://knacert.com.vn/wp-content/uploads/2025/11/33.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-02-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-03-1.png"
"posts","1322","publish","Chứng chỉ ISO 9001:2015 có hiệu lực trong bao lâu ?","https://knacert.com.vn/phat-trien-ben-vung/chung-chi-iso-90012015-co-hieu-luc-trong-bao-lau/","1","table_cta_candidate","cta_text_or_phone",""
"posts","1336","publish","Sự khác nhau giữa ISO 9000 và tiêu chuẩn TQM","https://knacert.com.vn/phat-trien-ben-vung/su-khac-nhau-giua-iso-9000-va-tieu-chuan-tqm/","1","table_cta_candidate","cta_text_or_phone",""
"posts","1682","publish","Tiêu chuẩn BRC là gì ? Hệ thống An toàn thực phẩm Quốc tế","https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/","2","known_asset_reference; table_cta_candidate","known_cta_asset; contact_href+cta_filename+button_dimensions+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-02-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-03-1-1.png"
"posts","1751","publish","KHÓA HỌC ĐÀO TẠO NHẬN THỨC VÀ ĐÁNH GIÁ NỘI BỘ TIÊU CHUẨN TRÁCH NHIỆM XÃ HỘI ( BSCI, WRAP, SEDEX)","https://knacert.com.vn/su-kien-va-chuong-trinh/khoa-hoc-dao-tao-nhan-thuc-va-danh-gia-noi-bo-tieu-chuan-trach-nhiem-xa-hoi-bsci-wrap-sedex/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","https://knacert.com.vn/wp-content/uploads/2025/11/khoa-hoc-tieu-chuan-csr.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png"
"posts","1853","publish","Chương trình an ninh chuỗi cung ứng: Tác động tích cực cho người gửi hàng","https://knacert.com.vn/tin-tuc-tieu-chuan/chuong-trinh-an-ninh-chuoi-cung-ung-tac-dong-tich-cuc-cho-nguoi-gui-hang/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png"
"posts","1876","publish","Tiêu chuẩn ISO 22000 ‘bệ đỡ’ cho sản phẩm thực phẩm an toàn, chất lượng","https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-22000-be-do-cho-san-pham-thuc-pham-an-toan-chat-luong/","1","table_cta_candidate","cta_text_or_phone",""
"posts","1938","publish","Câu hỏi về Hệ Thống Quản Lý Môi Trường ISO 14001","https://knacert.com.vn/phat-trien-ben-vung/cau-hoi-ve-he-thong-quan-ly-moi-truong-iso-14001/","1","table_cta_candidate","cta_text_or_phone",""
"posts","2140","publish","Giải pháp nào để Nâng chỉ số ‘Số chứng chỉ ISO 9001 và ISO 14001’ trong Chỉ số GII","https://knacert.com.vn/tin-tuc-tieu-chuan/giai-phap-nao-de-nang-chi-so-so-chung-chi-iso-9001-va-iso-14001-trong-chi-so-gii/","1","table_cta_candidate","cta_text_or_phone",""
"posts","2149","publish","Khóa Đào Tạo IATF 16949:2016 - Nhận thức và đánh giá viên nội bộ IATF 16949","https://knacert.com.vn/su-kien-va-chuong-trinh/khoa-dao-tao-iatf-169492016/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-copy.png","https://knacert.com.vn/wp-content/uploads/2025/11/khoa-hoc-nhan-thuc-va-danh-gia-noi-bo-iatf-16949-123.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-copy.png"
"posts","2744","publish","Lịch Đào Tạo Public Năm 2019 của KNA CERT","https://knacert.com.vn/su-kien-va-chuong-trinh/lich-dao-tao-public-nam-2019-cua-kna-cert/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png","https://knacert.com.vn/wp-content/uploads/2025/11/dao-tao-iso-benh-vien-dai-hoc-y-ha-noi-4.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png"
"posts","2801","publish","KHOÁ HỌC NHẬN THỨC VÀ ĐÁNH GIÁ NỘI BỘ TÍCH HỢP VỀ THỰC PHẨM (HACCP, ISO 22000)","https://knacert.com.vn/su-kien-va-chuong-trinh/khoa-hoc-nhan-thuc-va-danh-gia-noi-bo-tich-hop-ve-thuc-pham-haccp-iso-22000-brc/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-copy.png","https://knacert.com.vn/wp-content/uploads/2026/04/khoa-hoc-tich-hop-thuc-pham-haccp-iso-22000-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-copy.png"
"posts","2877","publish","Câu hỏi cần biết về tiêu chuẩn ISO 45001","https://knacert.com.vn/phat-trien-ben-vung/cau-hoi-can-biet-ve-tieu-chuan-iso-45001/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/nhan-uu-dai-thang-3.png","https://knacert.com.vn/wp-content/uploads/2025/11/nhan-uu-dai-thang-3.png"
"posts","3119","publish","Lí do ban hành tiêu chuẩn ISO 45001:2018","https://knacert.com.vn/tin-tuc-tieu-chuan/li-do-ban-hanh-tieu-chuan-iso-450012018/","1","table_cta_candidate","cta_text_or_phone",""
"posts","3213","publish","CHƯƠNG TRÌNH TĂNG CƯỜNG NĂNG LỰC VÀ THÚC ĐẨY ÁP DỤNG CÁC HTQL TRONG DOANH NGHIỆP","https://knacert.com.vn/tin-tuc-nganh-nghe/chuong-trinh-tang-cuong-nang-luc-va-thuc-day-ap-dung-cac-htql-trong-doanh-nghiep/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png","https://knacert.com.vn/wp-content/uploads/2025/11/chuong-trinh-mien-phi.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png"
"posts","3703","publish","Lịch đào tạo Public - KNA CERT","https://knacert.com.vn/tin-tuc-noi-bo-kna/lich-dao-tao-public-kna-cert/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png","https://knacert.com.vn/wp-content/uploads/2025/11/lich-dao-tao-public-2024-3.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png"
"posts","3743","publish","Kinh nghiệm áp dụng tiêu chuẩn ISO 22000 bài học từ Công ty Bảo An","https://knacert.com.vn/khach-hang/kinh-nghiem-ap-dung-tieu-chuan-iso-22000-bai-hoc-tu-cong-ty-bao-an/","1","table_cta_candidate","cta_text_or_phone",""
"posts","4018","publish","Tiết kiệm chi phí và thời gian khi áp dụng tiêu chuẩn ISO 22000","https://knacert.com.vn/tin-tuc-tieu-chuan/tiet-kiem-chi-phi-va-thoi-gian-khi-ap-dung-tieu-chuan-iso-22000/","1","table_cta_candidate","cta_text_or_phone",""
"posts","4070","publish","7 Ưu điểm của sản phẩm gỗ được chứng nhận FSC","https://knacert.com.vn/tin-tuc-tieu-chuan/7-uu-diem-cua-san-pham-go-duoc-chung-nhan-fsc/","1","table_cta_candidate","cta_text_or_phone",""
"posts","4158","publish","Chứng Nhận RCS - Công Nhận Quốc Tế","https://knacert.com.vn/tin-tuc-tieu-chuan/su-khac-biet-giua-chung-nhan-rcs-va-chung-nhan-grs-la-gi/","5","known_asset_reference; standalone_img_cta_candidate; table_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/44.png; https://knacert.com.vn/wp-content/uploads/2025/11/nhan-uu-dai-thang-3.png; https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png; contact_href+cta_filename+button_dimensions+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/nhan-uu-dai-thang-3.png | https://knacert.com.vn/wp-content/uploads/2025/11/44.png | https://knacert.com.vn/wp-content/uploads/2025/11/33.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-02-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-03-1-2.png"
"posts","4239","publish","FDA VÀ HƯỚNG DẪN KIỂM TRA CHỨNG NHẬN","https://knacert.com.vn/cong-cu-cai-tien/fda-va-huong-dan-kiem-tra-chung-nhan/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/chung-nhan-fda-44.png","https://knacert.com.vn/wp-content/uploads/2025/11/chung-nhan-fda-hoa-ki-4-3-4-4.png | https://knacert.com.vn/wp-content/uploads/2025/11/chung-nhan-fda-44.png"
"posts","4276","publish","Chứng nhận ISO 27001:2022 - Nhận báo giá mới nhất","https://knacert.com.vn/tin-tuc-tieu-chuan/11-cau-hoi-thuong-gap-ve-chung-nhan-iso-27001/","4","known_asset_reference; standalone_img_cta_candidate; table_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/44.png; https://knacert.com.vn/wp-content/uploads/2025/11/nhan-uu-dai-thang-3.png; contact_href+cta_filename+button_dimensions+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/nhan-uu-dai-thang-3.png | https://knacert.com.vn/wp-content/uploads/2025/11/44.png | https://knacert.com.vn/wp-content/uploads/2025/11/33.png"
"posts","4489","publish","Sự khác nhau giữa ISO 22000 và HACCP là gì ? Nên chọn chứng nhận 1 hay cả 2 ?","https://knacert.com.vn/tin-tuc-tieu-chuan/khac-biet-giua-iso-22000-va-haccp-la-gi-nen-chon-chung-nhan-1-hay-ca-2/","1","table_cta_candidate","cta_text_or_phone",""
"posts","4927","publish","Hướng dẫn viết quy trình ISO 9001:2015 - KNACERT","https://knacert.com.vn/cong-cu-cai-tien/huong-dan-viet-quy-trinh-iso-90012015-knacert/","1","table_cta_candidate","cta_text_or_phone",""
"posts","4944","publish","Sổ tay chất lượng là gì ? Cách viết sổ tay chất lượng theo ISO 9001:2015","https://knacert.com.vn/tin-tuc-tieu-chuan/so-tay-chat-luong-la-gi-cach-xay-dung-so-tay-chat-luong-theo-iso-90012015/","1","table_cta_candidate","cta_text_or_phone",""
"posts","4956","publish","Nâng cao hiệu quả giải quyết thủ tục hành chính nhờ ISO 9001:2015 điện tử","https://knacert.com.vn/tin-tuc-tieu-chuan/nang-cao-hieu-qua-giai-quyet-thu-tuc-hanh-chinh-nho-iso-90012015-dien-tu/","1","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-iso-9001-min.jpg","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-iso-9001-min.jpg"
"posts","5104","publish","Hướng dẫn triển khai áp dụng phương pháp 5S tại Doanh Nghiệp (Phần 2)","https://knacert.com.vn/cong-cu-cai-tien/huong-dan-trien-khai-ap-dung-phuong-phap-5s-tai-doanh-nghiep-phan-2/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/phan-loai-nhung-thu-can-thiet-44.png","https://knacert.com.vn/wp-content/uploads/2025/11/thuc-hie-5s-trong-van-phong.png | https://knacert.com.vn/wp-content/uploads/2025/11/phan-loai-nhung-thu-can-thiet-44.png"
"posts","5377","publish","Tiêu chuẩn ISO 22000:2018 những điểm mới so với ISO 22000:2005","https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-220002018-nhung-diem-moi-so-voi-iso-220002005/","1","table_cta_candidate","cta_text_or_phone",""
"posts","5549","publish","So sánh ISO 9001 và ISO 22000","https://knacert.com.vn/tin-tuc-tieu-chuan/so-sanh-iso-9001-va-iso-22000/","1","table_cta_candidate","cta_text_or_phone",""
"posts","5555","publish","Các bước Xây dựng và Chứng nhận hệ thống quản lý môi trường theo ISO 14001:2015","https://knacert.com.vn/cong-cu-cai-tien/cac-buoc-xay-dung-va-chung-nhan-he-thong-quan-ly-moi-truong-theo-iso-140012015/","1","table_cta_candidate","cta_text_or_phone",""
"posts","5566","publish","Tài liệu ISO 14001 PDF - Hệ Thống Quản Lý Môi Trường và các yêu cầu","https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-14001-pdf/","1","table_cta_candidate","cta_text_or_phone",""
"posts","5583","publish","Tiêu chuẩn ISO 22000 pdf - Tiêu chuẩn ISO về vệ sinh an toàn thực phẩm","https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-22000-pdf/","1","table_cta_candidate","cta_text_or_phone",""
"posts","5603","publish","Quy trình đánh giá nội bộ iso 9001:2015	cho Doanh Nghiệp","https://knacert.com.vn/cong-cu-cai-tien/quy-trinh-danh-gia-noi-bo-iso-90012015-cho-doanh-nghiep/","1","table_cta_candidate","cta_text_or_phone",""
"posts","5690","publish","Học ISO ở đâu chất lượng ?","https://knacert.com.vn/phat-trien-ben-vung/hoc-iso-o-dau-chat-luong/","2","known_asset_reference; standalone_img_cta_candidate","known_cta_asset; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888-1.png"
"posts","5817","publish","Giới thiệu về ISO/IEC 27001:2022 - Tiêu chuẩn an toàn thông tin","https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-iso-27001-tieu-chuan-an-toan-thong-tin/","1","table_cta_candidate","cta_text_or_phone",""
"posts","6225","publish","Chứng chỉ ISO 9001 Của KNA CERT – Chứng nhận được công nhận toàn cầu","https://knacert.com.vn/tin-tuc-tieu-chuan/chung-chi-iso-9001-cua-kna-cert-chung-nhan-duoc-cong-nhan-toan-cau/","1","table_cta_candidate","cta_text_or_phone",""
"posts","6292","publish","Tiêu Chuẩn ISO 22000:2018 : Hệ Thống Quản Lý An Toàn Thực Phẩm","https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-220002018-he-thong-quan-ly-an-toan-thuc-pham/","1","table_cta_candidate","cta_text_or_phone",""
"posts","6307","publish","So sánh BRC và HACCP","https://knacert.com.vn/tin-tuc-tieu-chuan/so-sanh-brc-va-haccp/","1","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/moi-lien-he-giuahaccp-va-brc-345.png","https://knacert.com.vn/wp-content/uploads/2025/11/moi-lien-he-giuahaccp-va-brc-345.png"
"posts","6330","publish","Chứng chỉ ISO 14001 Của KNA CERT – Chứng nhận được công nhận toàn cầu","https://knacert.com.vn/tin-tuc-tieu-chuan/chung-chi-iso-14001-cua-kna-cert/","1","table_cta_candidate","cta_text_or_phone",""
"posts","6431","publish","Đăng Kí Chứng Nhận FDA cho Găng Tay Y Tế","https://knacert.com.vn/tin-tuc-tieu-chuan/dang-ki-chung-nhan-fda-cho-gang-tay-y-te/","2","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2021/07/dang-ky-fda-cho-gang-tay-y-te.png; https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-fda-cho-gang-tay-y-te-32.png","https://knacert.com.vn/wp-content/uploads/2021/07/dang-ky-fda-cho-gang-tay-y-te.png | https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-fda-cho-gang-tay-y-te-32.png"
"posts","6801","publish","Mẫu mục tiêu chất lượng theo ISO 9001:2015 & Các yêu cầu khi thiết lập","https://knacert.com.vn/tin-tuc-tieu-chuan/mau-muc-tieu-chat-luong-theo-iso-9001/","1","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-iso-9001-min.jpg","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-iso-9001-min.jpg"
"posts","6858","publish","Quy trình đạt chứng nhận ISO cho doanh nghiệp trong ngành Xây dựng – Khai khoáng","https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-dat-chung-nhan-iso-cho-doanh-nghiep-trong-nganh-xay-dung-khai-khoang/","2","standalone_img_cta_candidate; table_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png; contact_href+cta_filename+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png | https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-sdt-456.png"
"posts","6905","publish","Quy trình đạt chứng nhận ISO cho doanh nghiệp trong ngành Dệt may – Da giày","https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-dat-chung-nhan-iso-cho-doanh-nghiep-trong-nganh-det-may-da-giay/","2","standalone_img_cta_candidate; table_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png; contact_href+cta_filename+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png | https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-sdt-456.png"
"posts","6907","publish","Quy trình đạt chứng nhận ISO cho doanh nghiệp trong ngành Nông – Lâm – Ngư nghiệp","https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-dat-chung-nhan-iso-cho-doanh-nghiep-trong-nganh-nong-lam-ngu-nghiep/","2","standalone_img_cta_candidate; table_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png; contact_href+cta_filename+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png | https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-sdt-456.png"
"posts","6909","publish","Quy trình đạt chứng nhận ISO cho doanh nghiệp trong ngành Thực phẩm – Thủy sản","https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-dat-chung-nhan-iso-cho-doanh-nghiep-trong-nganh-thuc-pham-thuy-san/","2","standalone_img_cta_candidate; table_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png; contact_href+cta_filename+cta_text_or_phone","https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-2345.png | https://knacert.com.vn/wp-content/uploads/2025/11/from-dang-ki-sdt-456.png"
