row,keyword,url,tieu_chuan,loai_trang,pheu_mua_hang,search_intent,nhom_trang,source_row
158,chứng nhận fssc 22000 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/fssc-22000-la-gi-noi-dung-va-loi-ich-khi-doanh-nghiep-ap-dung/,FSSC 22000 version 6,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,108
167,chứng chỉ kosher,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-kosher/,KOSHER,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,447
168,chứng chỉ kosher là gì,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-kosher/,KOSHER,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,447
174,chứng nhận brc,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-brcifs-food/,BRC FOOD; IFS FOOD,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,29
177,halal gcc,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-halal-la-gi/,Halal Jakim,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,162
179,fda là gì,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
180,chứng nhận fda,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
181,cấp chứng nhận fda,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
182,chứng nhận fda là gì,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
183,chứng chỉ fda,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
184,tiêu chuẩn fda,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
185,giấy chứng nhận fda,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,544
186,un mark,https://knacert.com.vn/dich-vu/chung-nhan-un-mark-cho-cac-hang-hoa-nguy-hiem/,UNMARK,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,525
187,chứng nhận un mark,https://knacert.com.vn/dich-vu/chung-nhan-un-mark-cho-cac-hang-hoa-nguy-hiem/,UNMARK,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,525
188,global gap,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-global-gap/,,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,545
189,global gap là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-vietgap-va-globalgap-co-gi-giong-va-khac-nhau/,GLOBALGAP; VietGAP,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,114
190,chứng nhận global gap,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-global-gap/,,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,545
191,tiêu chuẩn global gap,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-vietgap-va-globalgap-co-gi-giong-va-khac-nhau/,GLOBALGAP; VietGAP,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,114
192,eutr,https://knacert.com.vn/cong-cu-cai-tien/quy-dinh-ve-go-cua-lien-minh-chau-au-eutr-la-gi/,,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,704
193,eutr là gì,https://knacert.com.vn/cong-cu-cai-tien/quy-dinh-ve-go-cua-lien-minh-chau-au-eutr-la-gi/,,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,704
194,chứng chỉ pefc,https://knacert.com.vn/tin-tuc-tieu-chuan/pefc-la-gi-tieu-chuan-pefccocfm-va-chung-chi-rung/,PEFC - Coc,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,472
195,chứng chỉ pefc là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/pefc-la-gi-tieu-chuan-pefccocfm-va-chung-chi-rung/,PEFC - Coc,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,472
196,chứng nhận pefc,https://knacert.com.vn/tin-tuc-tieu-chuan/pefc-la-gi-tieu-chuan-pefccocfm-va-chung-chi-rung/,PEFC - Coc,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,472
197,pefc là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/pefc-la-gi-tieu-chuan-pefccocfm-va-chung-chi-rung/,PEFC - Coc,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,472
198,chứng chỉ grs,https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-chung-nhan-grs-gom-may-buoc/,KNA CERT,Trang Về Chúng Tôi,TOFU – Nhận biết,Navigational,Trang tĩnh,317
200,chứng nhận grs,https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-chung-nhan-grs-gom-may-buoc/,KNA CERT,Trang Về Chúng Tôi,TOFU – Nhận biết,Navigational,Trang tĩnh,317
201,chứng nhận grs là gì,https://knacert.com.vn/dich-vu/grs-tieu-chuan-tai-che-toan-cau/,GRS,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,126
204,chứng chỉ iscc,https://knacert.com.vn/dich-vu/chung-nhan-iscc-ve-nang-luong-sinh-hoc-va-sinh-khoi/,ISCC,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,179
205,chứng nhận iscc,https://knacert.com.vn/dich-vu/chung-nhan-iscc-ve-nang-luong-sinh-hoc-va-sinh-khoi/,ISCC,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,179
206,iscc,https://knacert.com.vn/dich-vu/chung-nhan-iscc-ve-nang-luong-sinh-hoc-va-sinh-khoi/,ISCC,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,179
207,iscc certificate,https://knacert.com.vn/dich-vu/chung-nhan-iscc-ve-nang-luong-sinh-hoc-va-sinh-khoi/,ISCC,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,179
208,iscc là gì,https://knacert.com.vn/dich-vu/chung-nhan-iscc-ve-nang-luong-sinh-hoc-va-sinh-khoi/,ISCC,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,179
211,ctpat là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-c-tpat-va-nhung-noi-dung-cap-nhat-moi/,CTPAT,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,59
212,chứng nhận ecovadis,https://knacert.com.vn/tin-tuc-tieu-chuan/tron-bo-tai-lieu-danh-gia-ecovadis-doanh-nghiep-can-chuan-bi/,ECOVADIS; DISNEY ILS,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,74
213,ecovadis,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-ecovadis-xep-hang-kinh-doanh-ben-vung/,ECOVADIS; DISNEY ILS,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,75
214,ecovadis là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-ecovadis-ve-xep-hang-kinh-doanh-ben-vung-la-gi/,ECOVADIS; DISNEY ILS,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,79
216,chứng nhận sedex,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA 4 PILLAR,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,494
219,sedex là gì,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA 4 PILLAR,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,494
220,sedex smeta,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA 4 PILLAR,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,494
223,tiêu chuẩn sedex smeta,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA 4 PILLAR,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,494
224,chứng chỉ bsci,https://knacert.com.vn/tin-tuc-tieu-chuan/bo-tieu-chuan-bsci-business-social-compliance-initiative/,BSCI,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,33
226,đánh giá bsci,https://knacert.com.vn/dich-vu/dao-tao-danh-gia-bsci-trach-nhiem-xa-hoi-cua-doanh-nghiep/,BSCI; TNXH (CSR),Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,48
227,higg,https://knacert.com.vn/dich-vu/chi-so-higg-index-va-hiep-hoi-may-mac-ben-vung/,HIGG FEM,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,163
228,higg fem là gì,https://knacert.com.vn/dich-vu/danh-gia-higg-fem/,HIGG FEM,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,164
230,wca,https://knacert.com.vn/dich-vu/tu-van-danh-gia-wca-chuong-trinh-danh-gia-dieu-kien-lam-viec/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,561
231,wca là gì,https://knacert.com.vn/dich-vu/tu-van-danh-gia-wca-chuong-trinh-danh-gia-dieu-kien-lam-viec/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,561
232,chứng nhận rba,https://knacert.com.vn/dich-vu/tu-van-danh-gia-eicc-rba-trach-nhiem-xa-hoi-trong-nganh-dien-tu/,RBA; TNXH (CSR),Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,476
237,chứng nhận ocs,https://knacert.com.vn/dich-vu/tu-van-ocs-tieu-chuan-ve-thanh-phan-huu-co/,OCS,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,460
238,ocs,https://knacert.com.vn/dich-vu/tu-van-ocs-tieu-chuan-ve-thanh-phan-huu-co/,OCS,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,460
239,tiêu chuẩn ocs,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-thanh-phan-huu-co-ocs-la-gi-kna-cert/,OCS,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,461
242,tiêu chuẩn costco,https://knacert.com.vn/dich-vu/bo-quy-tac-ung-xu-cho-nha-cung-cap-hang-hoa-cua-costco/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,569
244,rws là gì,https://knacert.com.vn/dich-vu/tu-van-rws-tieu-chuan-len-co-trach-nhiem/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,703
245,rws,https://knacert.com.vn/dich-vu/tu-van-rws-tieu-chuan-len-co-trach-nhiem/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Tư vấn,703
246,chứng chỉ rcs,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,RCS,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,477
247,chứng nhận rcs,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,RCS,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,477
248,rcs là gì,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-tuyen-bo-tai-che-rcs-la-gi/,RCS,Trang Dịch Vụ,MOFU – Cân nhắc,Commercial,Service – Đào tạo,479
249,tiêu chuẩn rcs,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,RCS,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,477
250,chứng chỉ fcca,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,Walmart (TNXH - An Ninh - FCCA),Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,530
251,fcca,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,Walmart (TNXH - An Ninh - FCCA),Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,530
252,fcca là chứng chỉ gì,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,Walmart (TNXH - An Ninh - FCCA),Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,530
253,fcca là gì,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,Walmart (TNXH - An Ninh - FCCA),Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,530
254,tiêu chuẩn fcca,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,Walmart (TNXH - An Ninh - FCCA),Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,530
256,chứng nhận sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/chinh-sach-sa8000-la-gi-huong-dan-soan-thao-tham-khao-mau/,SA8000:2014,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,485
257,sa8000,https://knacert.com.vn/dich-vu/chung-nhan-sa8000/,SA8000:2014,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,487
258,sa8000 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/chinh-sach-sa8000-la-gi-huong-dan-soan-thao-tham-khao-mau/,SA8000:2014,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,485
